"team","pts_now","exp_pts","exp_rank","p_title","p_top4","p_releg","massey_rtg","exp_rtg","luck"
"Arsenal",12,86,1.9,47,97,0,1.42,1.49,-0.07
"Manchester City",12,83,2.2,32,95,0,0.82,1.3,-0.48
"Chelsea",7,73,3.9,7,72,0,0.93,1.25,-0.32
"Brighton & Hove Albion",7,71,4.8,13,58,0,1.83,1.25,0.58
"Brentford",6,59,7.3,0,17,0,0.65,0.49,0.16
"Leeds United",5,58,7.6,0,15,0,1.14,0.62,0.51
"Newcastle United",5,57,7.7,0,14,0,0.31,0.48,-0.17
"Hull City",8,54,8.8,0,9,0,0.57,0.26,0.32
"Liverpool",6,52,9.3,0,6,0,-0.07,-0.01,-0.06
"Manchester United",4,52,9.6,0,8,1,0.01,0.05,-0.04
"AFC Bournemouth",3,52,9.5,0,2,0,0.16,0.36,-0.2
"Everton",6,51,9.9,0,3,0,-0.15,-0.03,-0.13
"Nottingham Forest",5,43,12.3,0,1,2,-0.15,-0.26,0.11
"Sunderland",4,41,12.9,0,1,5,-0.59,-0.43,-0.16
"Ipswich Town",6,33,14.9,0,0,16,-1.34,-1.12,-0.22
"Tottenham Hotspur",2,30,16,0,0,26,-1.09,-0.79,-0.29
"Fulham",1,25,17.3,0,0,49,-1.11,-1.14,0.03
"Crystal Palace",3,23,17.6,0,0,58,-1.7,-1.41,-0.29
"Aston Villa",1,21,17.9,0,0,66,-0.58,-1.09,0.51
"Coventry City",0,19,18.6,0,0,77,-1.07,-1.27,0.2
