"team","pts_now","exp_pts","exp_rank","p_title","p_top4","p_releg","massey_rtg","exp_rtg","luck"
"Barcelona",15,87,1.4,77,99,0,1.96,1.89,0.07
"Real Madrid",12,76,2.6,18,91,0,1.1,1.27,-0.17
"Real Betis",12,63,5.4,2,48,0,0.09,0.38,-0.29
"Atletico Madrid",10,61,6.3,1,38,1,0.43,0.29,0.14
"Deportivo Alaves",10,61,6.3,1,37,1,0.51,0.47,0.04
"Sevilla",10,56,8.2,0,18,2,0.19,0.1,0.08
"Athletic Club",7,56,8.4,0,21,3,0.25,0.18,0.07
"Espanyol",7,55,8.4,0,19,3,0.38,0.22,0.15
"Deportivo A Coruna",9,53,9.5,0,8,2,0.05,-0.07,0.12
"Racing Santander",7,50,10.9,0,6,6,-0.18,-0.08,-0.1
"Levante",5,49,11.4,0,6,10,-0.04,-0.11,0.07
"Real Sociedad",7,46,12.7,0,3,14,-0.47,-0.36,-0.11
"Osasuna",7,46,12.7,0,4,17,-0.45,-0.36,-0.09
"Rayo Vallecano",4,45,13.3,0,1,15,-0.26,-0.3,0.03
"Villarreal",2,44,13.6,0,1,17,-0.22,-0.3,0.07
"Getafe",5,43,13.9,0,1,20,-0.5,-0.43,-0.07
"Malaga",3,41,15,0,0,29,-0.6,-0.5,-0.1
"Celta Vigo",4,38,15.9,0,0,42,-0.64,-0.66,0.02
"Elche",2,38,16.1,0,0,47,-0.63,-0.69,0.06
"Valencia",1,32,18.2,0,0,73,-0.96,-0.94,-0.01
