"match_id","home","away","date","home_goals","away_goals","home_xg","away_xg","home_xt","away_xt","home_rtg","away_rtg"
"5161451","Washington Spirit","Portland Thorns",2026-03-14,0,1,1.06,0.99,1906,724,6.78619341563786,7.29684263959391
"5161453","Kansas City Current","Utah Royals",2026-03-14,2,1,1.94,1.28,1972,1364,7.33631951466127,6.66168032786885
"5161454","Bay FC","Denver Summit FC",2026-03-14,2,1,2.13,0.77,2032,917,7.46244918699187,6.55663055254605
"5161455","North Carolina Courage","Racing Louisville",2026-03-14,2,1,1.54,2.5,1704,1137,7.53350859453994,6.56454453441296
"5161456","San Diego Wave FC","Houston Dash",2026-03-15,0,1,1.63,0.56,3360,473,6.51500506585613,7.42182194616977
"5161457","Orlando Pride","Seattle Reign FC",2026-03-15,1,2,2.03,1.36,1866,959,6.68443425076453,7.51498987854251
"5161458","Angel City FC","Chicago Stars",2026-03-15,4,0,1.44,0.44,2277,563,7.68625891946993,5.54795918367347
"5161459","Orlando Pride","Denver Summit FC",2026-03-21,1,1,2.07,0.61,2156,1257,7.11742131979695,7.06609756097561
"5161460","Racing Louisville","Washington Spirit",2026-03-21,2,2,0.54,2.1,602,3247,6.89150657229525,7.00605662285137
"5161461","Portland Thorns","Seattle Reign FC",2026-03-21,2,0,1.16,1.12,951,2149,7.46521337946943,6.3289696969697
"5161462","Houston Dash","Boston Legacy FC",2026-03-21,3,0,3.26,0.52,1952,481,7.64127291242362,6.26312945973496
"5161463","Gotham FC","North Carolina Courage",2026-03-21,0,0,0.79,1.4,1448,931,7.05066734074823,6.9450406504065
"5161464","Bay FC","Angel City FC",2026-03-22,1,3,0.65,2.35,1155,1685,6.10492929292929,7.3777366255144
"5161465","Chicago Stars","Kansas City Current",2026-03-22,2,1,1.32,1.95,983,1701,7.11718623481781,6.65595939086294
"5161466","Utah Royals","San Diego Wave FC",2026-03-22,1,2,0.65,2.45,1612,1397,6.47847250509165,7.22974696356275
"5161468","Gotham FC","Denver Summit FC",2026-03-25,0,2,1.06,1.95,2001,943,6.2400404040404,7.56949494949495
"5161467","Washington Spirit","Utah Royals",2026-03-25,1,1,3.18,1.73,1699,1494,6.93552361396304,7.23672727272727
"5161469","Chicago Stars","Orlando Pride",2026-03-26,0,3,0.43,1.18,791,1870,5.90610772357724,7.74984599589322
"5161470","Seattle Reign FC","Kansas City Current",2026-03-26,3,0,1.61,0.49,1262,518,7.90132579650565,5.81856565656566
"5161471","San Diego Wave FC","Portland Thorns",2026-03-26,3,1,3.36,1.61,2459,1295,7.62596153846154,6.49210101010101
"5161472","Angel City FC","Houston Dash",2026-03-28,2,1,1.45,1.62,1271,1634,7.14408121827411,6.68700707785642
"5161473","Boston Legacy FC","Utah Royals",2026-03-28,1,2,0.67,1.39,1224,621,6.48884848484848,7.21144455747711
"5161474","Denver Summit FC","Washington Spirit",2026-03-28,0,0,1.16,0.58,1867,1005,6.92722278738555,7.069633401222
"5161475","Portland Thorns","Kansas City Current",2026-03-28,2,0,2.23,0.7,1951,1116,7.73733333333333,6.42992798353909
"5161476","Seattle Reign FC","Racing Louisville",2026-03-28,2,1,0.87,1.8,764,1592,7.34948170731707,6.2743509127789
"5161477","North Carolina Courage","Bay FC",2026-03-28,1,3,1.5,1.02,1140,886,6.57150657229525,7.46887878787879
"5161478","San Diego Wave FC","Chicago Stars",2026-03-29,2,0,1.99,0.05,2933,170,7.72843336724313,6.14915906788247
"5161479","Gotham FC","Orlando Pride",2026-03-29,0,0,0.65,0.71,1550,841,6.89746177370031,7.1714459049545
"5161481","Boston Legacy FC","San Diego Wave FC",2026-04-03,0,1,0.45,0.56,685,1241,6.57851851851852,7.35512639029323
"5161480","Orlando Pride","Angel City FC",2026-04-04,2,1,2.39,0.74,1289,923,7.08461071789687,6.56037449392713
"5161482","Houston Dash","Racing Louisville",2026-04-04,4,3,3.42,2.64,1844,1118,7.51395537525355,6.48957532861476
"5161483","Utah Royals","Chicago Stars",2026-04-04,1,0,3.03,0.29,2695,500,7.60973360655738,6.78371428571429
"5161484","Kansas City Current","Gotham FC",2026-04-04,2,1,1.69,1.3,1684,1624,7.30751012145749,6.74077777777778
"5161485","North Carolina Courage","Portland Thorns",2026-04-04,2,2,1.83,1.48,1965,912,7.05911111111111,6.9970303030303
"5161486","Seattle Reign FC","Denver Summit FC",2026-04-05,0,0,0.99,1.21,1011,2144,7.13392929292929,7.22464574898785
"5161487","Bay FC","Washington Spirit",2026-04-05,0,2,0.32,2.75,514,2513,6.54386802030457,7.17271341463415
