"team","pts_now","exp_pts","exp_rank","p_title","p_top4","p_releg","massey_rtg","exp_rtg","luck"
"Gotham FC",45,56,1.8,58,95,0,0.36,0.43,-0.07
"Washington Spirit",43,53,2.8,23,84,0,0.42,0.43,-0.01
"Utah Royals",42,51,4,9,64,0,0.37,0.35,0.02
"San Diego Wave FC",42,51,4.2,7,61,0,0.25,0.22,0.03
"Portland Thorns",39,48,5.8,1,28,0,0.2,0.2,0
"North Carolina Courage",39,48,6.2,1,24,0,0.36,0.35,0.01
"Seattle Reign FC",37,47,6.3,1,23,0,0.12,0.18,-0.06
"Kansas City Current",38,47,6.8,1,16,0,0.15,0.18,-0.03
"Angel City FC",33,43,8.8,0,3,0,0.32,0.27,0.04
"Denver Summit FC",31,42,9.1,0,2,0,0.31,0.17,0.14
"Orlando Pride",30,38,11.2,0,0,0,-0.19,-0.14,-0.04
"Boston Legacy FC",26,35,12.5,0,0,0,-0.32,-0.27,-0.05
"Houston Dash",26,34,12.6,0,0,0,-0.13,-0.23,0.09
"Bay FC",22,31,13.7,0,0,0,-0.37,-0.23,-0.13
"Racing Louisville",23,30,14.2,0,0,0,-0.43,-0.51,0.08
"Chicago Stars",17,22,15.9,0,0,0,-1.41,-1.4,-0.01
